Redshift_z,Predicted_H0_Gap_kms_Mpc
0.0000,0.000000
0.1010,0.918380
0.2020,1.673007
0.3030,2.293366
0.4040,2.803943
0.5051,3.224996
0.6061,3.573176
0.7071,3.862077
0.8081,4.102731
0.9091,4.304057
1.0101,4.473248
1.1111,4.616098
1.2121,4.737280
1.3131,4.840565
1.4141,4.929005
1.5152,5.005078
1.6162,5.070803
1.7172,5.127830
1.8182,5.177514
1.9192,5.220970
2.0202,5.259125
2.1212,5.292746
2.2222,5.322476
2.3232,5.348852
2.4242,5.372326
2.5253,5.393283
2.6263,5.412045
2.7273,5.428890
2.8283,5.444053
2.9293,5.457738
3.0303,5.470118
3.1313,5.481344
3.2323,5.491546
3.3333,5.500837
3.4343,5.509317
3.5354,5.517071
3.6364,5.524174
3.7374,5.530694
3.8384,5.536688
3.9394,5.542209
4.0404,5.547301
4.1414,5.552006
4.2424,5.556359
4.3434,5.560392
4.4444,5.564135
4.5455,5.567613
4.6465,5.570848
4.7475,5.573862
4.8485,5.576673
4.9495,5.579298
5.0505,5.581752
5.1515,5.584048
5.2525,5.586199
5.3535,5.588217
5.4545,5.590111
5.5556,5.591890
5.6566,5.593564
5.7576,5.595140
5.8586,5.596625
5.9596,5.598025
6.0606,5.599347
6.1616,5.600595
6.2626,5.601775
6.3636,5.602892
6.4646,5.603949
6.5657,5.604951
6.6667,5.605901
6.7677,5.606802
6.8687,5.607658
6.9697,5.608471
7.0707,5.609244
7.1717,5.609979
7.2727,5.610679
7.3737,5.611346
7.4747,5.611981
7.5758,5.612587
7.6768,5.613165
7.7778,5.613717
7.8788,5.614244
7.9798,5.614748
8.0808,5.615229
8.1818,5.615690
8.2828,5.616131
8.3838,5.616553
8.4848,5.616957
8.5859,5.617345
8.6869,5.617716
8.7879,5.618073
8.8889,5.618415
8.9899,5.618743
9.0909,5.619058
9.1919,5.619361
9.2929,5.619653
9.3939,5.619933
9.4949,5.620202
9.5960,5.620461
9.6970,5.620711
9.7980,5.620951
9.8990,5.621182
10.0000,5.621405
