# Matter power spectrum P(k) at redshift z=5
# for k=1.04734e-05 to 104.842 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341826327e-05       2.137058333911e+00 
       1.318525239998e-05       2.668737796311e+00 
       1.659924930725e-05       3.332691864980e+00 
       2.089721676961e-05       4.161826584830e+00 
       2.630803722703e-05       5.197232067043e+00 
       3.311985659953e-05       6.490215875875e+00 
       4.169542910813e-05       8.104839947695e+00 
       5.249143525989e-05       1.012108317988e+01 
       6.608280175022e-05       1.263878104771e+01 
       8.319331840591e-05       1.578252515392e+01 
       1.047341826327e-04       1.970774190738e+01 
       1.318525239998e-04       2.460820590467e+01 
       1.659924930725e-04       3.072526875730e+01 
       2.089721676961e-04       3.835908362306e+01 
       2.630803722703e-04       4.788203812095e+01 
       3.311985659953e-04       5.975440340994e+01 
       4.169542910813e-04       7.454174472954e+01 
       5.249143525989e-04       9.293272723998e+01 
       6.608280175022e-04       1.157543833475e+02 
       8.319331840591e-04       1.439796500523e+02 
       1.047341826327e-03       1.787197136095e+02 
       1.318525239998e-03       2.211933429346e+02 
       1.659924930725e-03       2.726610187804e+02 
       2.089721676961e-03       3.343473238411e+02 
       2.630803722703e-03       4.072588098288e+02 
       3.311985659953e-03       4.918821106966e+02 
       4.169542910813e-03       5.877675812119e+02 
       5.249143525989e-03       6.930216346800e+02 
       6.608280175022e-03       8.036643698031e+02 
       8.319331840591e-03       9.129228576574e+02 
       1.047341826327e-02       1.010532704261e+03 
       1.318525239998e-02       1.082326596511e+03 
       1.659924930723e-02       1.110895874646e+03 
       2.089721661134e-02       1.079060099802e+03 
       2.630791517276e-02       9.787032936621e+02 
       3.310278266809e-02       8.249766680304e+02 
       4.112178767827e-02       6.705452837622e+02 
       4.790628827187e-02       5.817146653223e+02 
       5.282242665316e-02       5.381029350953e+02 
       5.687266276783e-02       5.109410304406e+02 
       6.048713924457e-02       4.904550539851e+02 
       6.385726918489e-02       4.725630650409e+02 
       6.708422356808e-02       4.552127439262e+02 
       7.022860457073e-02       4.373071202258e+02 
       7.333018959121e-02       4.183197945565e+02 
       7.641699559472e-02       3.981172893496e+02 
       7.950991500399e-02       3.768639958101e+02 
       8.262529000619e-02       3.549439860123e+02 
       8.577643711244e-02       3.328930546097e+02 
       8.897459779322e-02       3.113219665415e+02 
       9.222955666873e-02       2.908458599409e+02 
       9.555005766263e-02       2.720136045261e+02 
       9.894409227649e-02       2.552499132024e+02 
       1.024191040350e-01       2.408101518015e+02 
       1.059821362671e-01       2.287530081083e+02 
       1.096399405354e-01       2.189313811272e+02 
       1.133990570790e-01       2.109942577318e+02 
       1.172658749381e-01       2.044142740794e+02 
       1.212466770802e-01       1.985319728091e+02 
       1.253476743186e-01       1.926321866435e+02 
       1.295750308151e-01       1.860583182754e+02 
       1.339348832883e-01       1.783368981452e+02 
       1.384333556066e-01       1.692922492730e+02 
       1.430765701517e-01       1.591036015208e+02 
       1.478706571406e-01       1.482752368891e+02 
       1.528217629719e-01       1.375172593357e+02 
       1.579360585786e-01       1.275736715332e+02 
       1.632197487229e-01       1.190312860901e+02 
       1.686790831333e-01       1.121712741346e+02 
       1.743203703677e-01       1.069076799183e+02 
       1.801499952706e-01       1.027943194889e+02 
       1.861744408854e-01       9.917864381660e+01 
       1.924003156778e-01       9.532530763091e+01 
       1.988343869272e-01       9.066998473197e+01 
       2.054836211617e-01       8.511487194128e+01 
       2.123552325376e-01       7.905419788764e+01 
       2.194567401293e-01       7.313731895677e+01 
       2.267960351874e-01       6.794414169550e+01 
       2.343814595750e-01       6.377703093753e+01 
       2.422218968067e-01       6.055871563403e+01 
       2.503268774207e-01       5.784012052994e+01 
       2.587067008345e-01       5.505282575456e+01 
       2.673725763996e-01       5.185638169855e+01 
       2.763367871246e-01       4.829869401754e+01 
       2.856128805324e-01       4.476287676374e+01 
       2.952158924401e-01       4.168332707897e+01 
       3.051626111926e-01       3.918779994091e+01 
       3.154718922142e-01       3.706002164040e+01 
       3.261650358618e-01       3.495707435361e+01 
       3.372662458041e-01       3.267910856479e+01 
       3.488031909613e-01       3.034976588387e+01 
       3.608077021259e-01       2.821522600505e+01 
       3.733166457820e-01       2.639085866340e+01 
       3.863730339853e-01       2.473707625672e+01 
       4.000274529770e-01       2.307676379935e+01 
       4.143399285777e-01       2.139999003717e+01 
       4.293823999925e-01       1.983302457613e+01 
       4.452420566752e-01       1.842005604238e+01 
       4.620259246723e-01       1.708467811880e+01 
       4.798673037815e-01       1.575965572592e+01 
       4.989350181070e-01       1.449431538026e+01 
       5.194470707518e-01       1.332060916106e+01 
       5.416914282095e-01       1.217904705757e+01 
       5.660588009222e-01       1.107205524432e+01 
       5.930965292474e-01       1.001388283420e+01 
       6.236015761098e-01       8.975495574547e+00 
       6.587904759309e-01       7.959332973261e+00 
       7.006315492567e-01       6.947009704366e+00 
       7.525461085526e-01       5.926253366410e+00 
       8.210079805222e-01       4.874566435823e+00 
       9.193237378563e-01       3.771757645388e+00 
       1.074684017807e+00       2.634685720215e+00 
       1.322179872275e+00       1.623665738112e+00 
       1.661679345586e+00       9.430699267285e-01 
       2.091875610101e+00       5.406400252484e-01 
       2.633515157138e+00       3.073705000254e-01 
       3.315399153555e+00       1.734516294458e-01 
       4.173840244652e+00       9.721778417760e-02 
       5.254553548761e+00       5.415468992471e-02 
       6.615090990169e+00       2.999649805892e-02 
       8.327906148854e+00       1.652961936615e-02 
       1.048421267783e+01       9.065503439712e-03 
       1.319884176277e+01       4.950143545425e-03 
       1.661635730141e+01       2.692025839272e-03 
       2.091875445819e+01       1.458463770142e-03 
       2.633515157050e+01       7.873557886743e-04 
       3.315399153555e+01       4.236072593919e-04 
       4.173840244652e+01       2.271618544033e-04 
